Date,Predicted_Funding_Amount,Predicted_Funding_Amount_Lower,Predicted_Funding_Amount_Upper
2020-02-29,1355167744.0,519709884.8584572,2190625603.141543
2020-03-31,652274368.0,0.0,1833790203.1891606
2020-04-30,1070354816.0,0.0,2517410275.6158743
2020-05-31,806992832.0,0.0,2477908550.283086
2020-06-30,819652864.0,0.0,2687793429.376934
2020-07-31,825480256.0,0.0,2871925712.4948025
2020-08-31,492868512.0,0.0,2703282238.162953
2020-09-30,735496704.0,0.0,3098528374.378321
2020-10-31,439382944.0,0.0,2945756521.4246283
2020-11-30,322795008.0,0.0,2964744731.9754014
2020-12-31,492969792.0,0.0,3263870038.9260902
2021-01-31,543360960.0,0.0,3437471879.2317486
